,latency
386,1.2110000000000004e-05
387,9.740000000000012e-06
388,1.066000000000001e-05
389,1.2880000000000012e-05
390,1.0100000000000002e-05
391,1.0249999999999992e-05
392,9.230000000000018e-06
393,3.511999999999981e-05
394,1.1120000000000016e-05
395,1.5460000000000004e-05
396,1.1060000000000006e-05
397,9.379999999999995e-06
398,1.3249999999999997e-05
399,1.1120000000000002e-05
400,2.1910000000000012e-05
401,1.0490000000000003e-05
402,1.0009999999999994e-05
403,1.3359999999999994e-05
404,1.3099999999999993e-05
405,1.2309999999999996e-05
406,9.77000000000001e-06
407,1.1540000000000015e-05
408,1.4219999999999982e-05
409,2.322000000000001e-05
410,1.4340000000000002e-05
411,1.0159999999999998e-05
412,1.0570000000000002e-05
413,2.547999999999998e-05
414,9.779999999999978e-06
415,1.1399999999999992e-05
416,2.45e-05
417,1.2139999999999989e-05
418,1.3340000000000004e-05
419,2.4679999999999987e-05
420,1.1850000000000017e-05
421,1.0500000000000011e-05
422,2.0460000000000004e-05
423,1.0629999999999985e-05
424,1.5449999999999996e-05
425,1.631000000000001e-05
426,1.2339999999999994e-05
427,1.5140000000000008e-05
428,1.0230000000000002e-05
429,1.5029999999999997e-05
430,1.5020000000000002e-05
431,9.79e-06
432,1.3080000000000004e-05
433,1.0460000000000005e-05
434,1.380000000000001e-05
435,1.2229999999999996e-05
436,1.4349999999999996e-05
437,1.0410000000000004e-05
438,1.895e-05
439,1.2520000000000009e-05
440,9.739999999999998e-06
441,1.0609999999999995e-05
442,1.1599999999999997e-05
443,1.1049999999999998e-05
444,1.1010000000000005e-05
445,1.0899999999999994e-05
446,9.200000000000007e-06
447,1.1629999999999995e-05
448,1.0429999999999993e-05
449,1.5159999999999997e-05
450,1.8140000000000013e-05
451,9.529999999999999e-06
452,1.1740000000000006e-05
453,1.024000000000001e-05
454,1.1820000000000005e-05
455,1.6140000000000005e-05
456,1.7060000000000003e-05
457,1.5839999999999997e-05
458,1.0729999999999987e-05
459,2.521999999999998e-05
460,1.1029999999999994e-05
461,1.0490000000000003e-05
462,1.0499999999999998e-05
463,1.0780000000000002e-05
464,1.0400000000000009e-05
465,1.150999999999999e-05
466,1.0709999999999997e-05
467,1.5139999999999994e-05
468,1.0520000000000001e-05
469,9.880000000000007e-06
470,1.039e-05
471,9.180000000000004e-06
472,1.045000000000001e-05
473,1.6700000000000013e-05
474,1.1159999999999995e-05
475,1.0520000000000001e-05
476,9.680000000000002e-06
477,9.959999999999993e-06
478,1.6099999999999985e-05
479,1.1179999999999998e-05
480,1.6109999999999993e-05
481,1.518e-05
482,9.58e-06
483,1.1050000000000011e-05
484,2.2199999999999998e-05
485,1.9310000000000003e-05
486,1.0319999999999996e-05
487,1.0039999999999992e-05
488,1.3920000000000002e-05
489,1.668999999999999e-05
490,9.630000000000001e-06
491,1.422999999999999e-05
492,1.0740000000000009e-05
493,2.4390000000000002e-05
494,1.0380000000000006e-05
495,1.087000000000001e-05
496,1.615e-05
497,9.910000000000005e-06
498,1.0150000000000003e-05
499,2.055000000000001e-05
500,1.2629999999999993e-05
501,1.0969999999999998e-05
502,1.0059999999999995e-05
503,1.1839999999999995e-05
504,1.0960000000000003e-05
505,1.1699999999999986e-05
506,9.940000000000003e-06
507,1.3999999999999988e-05
508,9.680000000000002e-06
509,1.0670000000000005e-05
510,9.970000000000001e-06
511,1.4109999999999999e-05
512,1.7489999999999997e-05
513,1.005e-05
514,2.0579999999999996e-05
515,1.2220000000000015e-05
516,1.0230000000000002e-05
517,1.2860000000000009e-05
518,1.0400000000000009e-05
519,1.5219999999999993e-05
520,1.812000000000001e-05
521,1.477000000000001e-05
522,1.0930000000000005e-05
523,1.2209999999999993e-05
524,9.089999999999996e-06
525,1.3879999999999996e-05
526,1.0009999999999994e-05
527,1.073e-05
528,1.8209999999999976e-05
529,1.0169999999999992e-05
530,1.2969999999999993e-05
531,1.1259999999999997e-05
532,1.0329999999999991e-05
533,1.1090000000000004e-05
534,1.7740000000000003e-05
535,1.1090000000000004e-05
536,1.0620000000000003e-05
537,1.3500000000000003e-05
538,1.2329999999999999e-05
539,1.0399999999999995e-05
540,1.210999999999999e-05
541,1.4750000000000006e-05
542,1.592999999999999e-05
543,1.0490000000000003e-05
544,1.1469999999999997e-05
545,1.2350000000000002e-05
546,1.778000000000001e-05
547,1.1599999999999997e-05
548,1.018e-05
549,1.048e-05
550,1.073e-05
551,1.6450000000000007e-05
552,1.0369999999999997e-05
553,1.0490000000000016e-05
554,1.3150000000000008e-05
555,2.3879999999999995e-05
556,1.6659999999999993e-05
557,1.0410000000000004e-05
558,1.162e-05
559,2.371e-05
560,1.1779999999999999e-05
561,1.1590000000000003e-05
562,1.1670000000000002e-05
563,9.929999999999995e-06
564,1.0040000000000006e-05
565,1.2159999999999992e-05
566,1.0629999999999998e-05
567,1.0800000000000005e-05
568,1.2010000000000015e-05
569,1.0899999999999994e-05
570,1.003000000000001e-05
571,1.0289999999999998e-05
572,1.806e-05
573,1.4180000000000003e-05
574,9.929999999999995e-06
575,1.2610000000000003e-05
576,1.204e-05
577,1.6129999999999983e-05
578,1.0570000000000002e-05
579,1.5649999999999987e-05
580,1.0020000000000002e-05
581,1.0650000000000001e-05
582,1.081e-05
583,1.1750000000000001e-05
584,1.1500000000000008e-05
585,1.2259999999999994e-05
586,1.0899999999999994e-05
587,1.3000000000000004e-05
588,9.540000000000007e-06
589,1.5130000000000013e-05
590,2.019999999999999e-05
591,1.293e-05
592,1.1639999999999997e-05
593,1.746e-05
594,1.1380000000000003e-05
595,1.3219999999999999e-05
596,1.2019999999999997e-05
597,1.786000000000001e-05
598,1.1110000000000007e-05
599,1.066000000000001e-05
600,1.1140000000000019e-05
601,1.0209999999999999e-05
602,1.3940000000000005e-05
603,1.5540000000000004e-05
604,1.0709999999999997e-05
605,1.0640000000000007e-05
606,1.3409999999999995e-05
607,1.5419999999999998e-05
608,9.24e-06
609,1.2130000000000008e-05
610,1.0880000000000004e-05
611,1.767e-05
612,1.1070000000000014e-05
613,1.0529999999999996e-05
614,1.3420000000000017e-05
615,2.4290000000000013e-05
616,1.9559999999999982e-05
617,9.529999999999999e-06
618,1.0429999999999993e-05
619,1.7330000000000012e-05
620,1.108999999999999e-05
621,9.609999999999998e-06
622,9.659999999999999e-06
623,2.5060000000000007e-05
624,2.502e-05
625,1.1080000000000009e-05
626,1.382e-05
627,1.1090000000000004e-05
628,1.047e-05
629,1.1269999999999992e-05
630,1.1100000000000012e-05
631,1.0480000000000008e-05
632,1.5950000000000008e-05
633,1.0500000000000011e-05
634,1.4420000000000001e-05
635,1.103999999999999e-05
636,9.650000000000004e-06
637,1.6609999999999992e-05
638,1.4599999999999989e-05
639,9.479999999999997e-06
640,1.6179999999999998e-05
641,1.0400000000000009e-05
642,1.7799999999999985e-05
643,1.1170000000000003e-05
644,1.0620000000000003e-05
645,1.2209999999999993e-05
646,1.5540000000000004e-05
647,1.3130000000000005e-05
648,1.7110000000000017e-05
649,1.4479999999999997e-05
650,1.5800000000000018e-05
651,1.181000000000001e-05
652,2.3249999999999996e-05
653,1.2770000000000001e-05
654,1.073e-05
655,1.1530000000000006e-05
656,1.756e-05
657,1.1440000000000012e-05
658,1.0079999999999998e-05
659,1.0159999999999998e-05
660,1.5579999999999997e-05
661,1.6649999999999998e-05
662,1.068e-05
663,1.0761000000000014e-05
664,1.204e-05
665,1.3790000000000002e-05
666,1.2350000000000002e-05
667,1.3829999999999981e-05
668,3.261e-05
669,1.4719999999999981e-05
670,9.749999999999993e-06
671,1.039e-05
672,1.1250000000000002e-05
673,1.0800000000000019e-05
674,1.174000000000002e-05
675,1.1009999999999991e-05
676,1.0289999999999998e-05
677,1.068e-05
678,1.1459999999999989e-05
679,9.360000000000005e-06
680,1.0079999999999998e-05
681,9.92e-06
682,1.095999999999999e-05
683,1.1190000000000006e-05
684,1.1049999999999998e-05
685,1.4180000000000003e-05
686,1.45e-05
687,1.4160000000000014e-05
688,1.299999999999999e-05
689,1.6380000000000002e-05
690,2.337e-05
691,1.1200000000000001e-05
692,1.047e-05
693,1.3450000000000002e-05
694,8.979999999999999e-06
695,1.0449999999999997e-05
696,1.2710000000000005e-05
697,1.0200000000000004e-05
698,1.134000000000001e-05
699,1.1990000000000012e-05
700,1.2760000000000007e-05
701,1.6609999999999992e-05
702,9.269999999999998e-06
703,1.9109999999999998e-05
704,1.0250000000000005e-05
705,1.0160000000000011e-05
706,1.0590000000000005e-05
707,1.3850000000000011e-05
708,9.960000000000006e-06
709,9.98999999999999e-06
710,1.3849999999999998e-05
711,1.0639999999999993e-05
712,1.4639999999999995e-05
713,1.2889999999999993e-05
714,1.584000000000001e-05
715,1.0499999999999984e-05
716,1.0880000000000004e-05
717,1.6209999999999996e-05
718,1.0410000000000004e-05
719,1.1330000000000002e-05
720,1.7890000000000007e-05
721,1.3049999999999992e-05
722,1.3809999999999991e-05
723,1.0029999999999997e-05
724,1.0379999999999992e-05
